ProductID,ProductName,CategoryID,SubCategory,SupplierID,CostPrice,UnitPrice,LaunchDate,Status
P-0031,Cowbell Powdered Milk 900g,CAT-01,Dairy & Frozen,SUP-004,3176.85,3950,2023-12-27,Active
P-0032,Semovita Wheat Meal 2kg,CAT-01,Staples,SUP-015,17985.56,21500,2024-05-24,Active
P-0033,5Alive Tin,CAT-01,Beverages,SUP-005,1246.58,1550,2018-02-04,Active
P-0034,Maggi Seasoning Cubes Pack,CAT-01,Cooking Essentials,SUP-015,7168.95,8300,2023-03-31,Active
P-0035,Knorr Salt 1kg,CAT-01,Cooking Essentials,SUP-011,10274.06,12950,2021-12-23,Active
P-0036,5Alive PET 50cl,CAT-01,Beverages,SUP-015,1316.52,1550,2024-08-29,Active
P-0037,Nescafe Sachet Roll,CAT-01,Beverages,SUP-014,4969.63,6400,2020-01-23,Active
P-0038,Laziz Salt 1kg,CAT-01,Cooking Essentials,SUP-015,12458.47,14850,2022-02-01,Active
P-0039,Digestive Wafers,CAT-01,Snacks,SUP-006,495.83,600,2021-10-19,Active
P-0040,5Alive Sachet Roll,CAT-01,Beverages,SUP-040,6945.32,9200,2019-03-30,Active
P-0041,Sardine King Mackerel Tin,CAT-01,Canned & Packaged,SUP-015,2816.97,3300,2024-05-21,Discontinued
P-0042,Golden Penny Semolina 5kg,CAT-01,Staples,SUP-009,4639.48,5400,2019-09-19,Active
P-0043,Lucozade Refill Pack,CAT-01,Beverages,SUP-008,4536.98,5200,2023-06-16,Active
P-0044,Beloxxi Cream Crackers,CAT-01,Snacks,SUP-009,2340.74,2750,2018-10-25,Active
P-0045,Heinz Mayonnaise 443ml,CAT-01,Canned & Packaged,SUP-040,3961.36,4400,2020-07-24,Active
P-0046,Maggi Groundnut Oil 5L,CAT-01,Cooking Essentials,SUP-008,3746.36,4250,2024-10-22,Active
P-0047,Lucozade Energy Drink,CAT-01,Beverages,SUP-009,1139.92,1300,2023-02-09,Active
P-0048,Coca-Cola Sachet Roll,CAT-01,Beverages,SUP-015,1293.45,1700,2020-03-07,Active
P-0049,Semovita Macaroni 500g,CAT-01,Staples,SUP-003,31488.61,38750,2020-02-15,Active
P-0050,Mama Gold Semolina 5kg  ,CAT-01,Staples,SUP-010,6371.97,7200,2021-09-12,Active
P-0051,BUA Noodles Carton,CAT-01,Staples,SUP-008,6902.93,8100,2018-02-22,Active
P-0052,Pringles Wafers,CAT-01,Snacks,SUP-009,2553.73,3100,2023-09-02,Active
P-0053,McVities Cookies Jar,CAT-01,Snacks,SUP-011,3392.51,3950,2020-03-05,Discontinued
P-0054,Nescafe Can 33cl,CAT-01,Beverages,SUP-011,1434.87,2000,2019-07-25,Active
P-0055,Dangote Semolina 5kg,CAT-01,Staples,SUP-003,15489.4,18000,2019-09-16,Active
P-0056,Semovita Spaghetti 500g,CAT-01,Staples,SUP-005,19632.45,22450,2018-08-22,Active
P-0057,Coca-Cola Juice 1L,CAT-01,Beverages,SUP-005,7918.09,8800,2023-09-15,Active
P-0058,Bama Baked Beans 400g,CAT-01,Canned & Packaged,SUP-008,5159.06,5900,2020-03-12,Active
P-0059,Power Oil Groundnut Oil 5L,CAT-01,Cooking Essentials,SUP-013,8753.54,10400,2023-06-29,Active
P-0060,Royal Stallion Semolina 5kg,CAT-01,Staples,SUP-005,18908.45,22950,2024-08-14,Active
P-0061,Gino Palm Oil 2L,CAT-01,Cooking Essentials,SUP-007,5266.81,6400,2023-11-14,Active
P-0062,Yale Cream Crackers,CAT-01,Snacks,SUP-003,675.2,750,2019-02-17,Active
P-0063,Gino Groundnut Oil 5L,CAT-01,Cooking Essentials,SUP-014,4892.0,6150,2020-11-08,Active
P-0064,Digestive Cream Crackers,CAT-01,Snacks,SUP-014,1569.81,1800,2019-08-12,Active
P-0065,BUA Rice 10kg,CAT-01,Staples,SUP-011,29325.28,38550,2020-01-13,Active
P-0066,Milo PET 50cl,CAT-01,Beverages,SUP-015,3991.27,5250,2021-05-08,Active
P-0067,Kings Curry Powder,CAT-01,Cooking Essentials,SUP-014,7197.84,8700,2022-06-20,Active
P-0068,Heinz Sweet Corn Tin,CAT-01,Canned & Packaged,SUP-002,4297.95,4900,2022-02-02,Active
P-0069,Mama Gold Noodles Carton,CAT-01,Staples,SUP-007,4973.0,6350,2022-10-03,Active
P-0070,Laziz Palm Oil 2L,CAT-01,Cooking Essentials,SUP-014,9369.0,11700,2021-08-01,Active
P-0071,Loya Ice Cream 1L  ,CAT-01,Dairy & Frozen,SUP-013,9783.41,11500,2024-05-28,Active
P-0072,McVities Chin Chin 250g,CAT-01,Snacks,SUP-001,3045.75,3550,2024-05-17,Active
P-0073,Three Crowns Ice Cream 1L,CAT-01,Dairy & Frozen,SUP-013,6169.29,7200,2024-06-23,Active
P-0074,Minimie Wafers,CAT-01,Snacks,SUP-040,705.41,900,2018-01-20,Active
P-0075,Yale Wafers,CAT-01,Snacks,SUP-001,1985.08,2400,2021-12-02,Active
P-0076,Loya Powdered Milk 900g,CAT-01,Dairy & Frozen,SUP-012,5520.8,6050,2018-12-14,Active
P-0077,Kings Palm Oil 2L,CAT-01,Cooking Essentials,SUP-010,1734.66,2250,2024-05-17,Active
P-0078,Kings Tomato Paste 210g,CAT-01,Cooking Essentials,SUP-013,5927.22,6950,2019-06-05,Active
P-0079,Milo Sachet Roll,CAT-01,Beverages,SUP-014,7016.33,8550,2022-08-06,Active
P-0080,Knorr Seasoning Cubes Pack,CAT-01,Cooking Essentials,SUP-008,5099.0,6100,2020-02-22,Active
P-0081,Digestive Biscuit Pack,CAT-01,Snacks,SUP-040,3663.83,4200,2019-01-30,Active
P-0082,Pringles Chips 165g,CAT-01,Snacks,SUP-008,2837.15,3300,2024-06-30,Active
P-0083,Bournvita Yoghurt Drink,CAT-01,Beverages,SUP-009,3940.33,4750,2024-05-29,Active
P-0084,Milo Can 33cl,CAT-01,Beverages,SUP-014,5494.66,6900,2020-11-25,Active
P-0085,Cowbell Ice Cream 1L,CAT-01,Dairy & Frozen,SUP-040,7053.59,7750,2018-10-24,Active
P-0086,Pepsi Can 33cl,CAT-01,Beverages,SUP-001,5490.8,6650,2018-08-28,Active
P-0087,Titus Corned Beef 340g,CAT-01,Canned & Packaged,SUP-013,2011.62,2250,2021-02-09,Active
P-0088,Devon King's Vegetable Oil 3L,CAT-01,Cooking Essentials,SUP-011,4126.07,5100,2023-01-20,Active
P-0089,Gala Chips 165g,CAT-01,Snacks,SUP-013,3725.22,4500,2023-05-08,Active
P-0090,Pringles Sausage Roll,CAT-01,Snacks,SUP-006,3047.3,3800,2022-07-23,Active
P-0091,Pringles Cookies Jar,CAT-01,Snacks,SUP-015,2398.78,3000,2024-11-02,Active
P-0092,Exeter Baked Beans 400g,CAT-01,Canned & Packaged,SUP-005,557.82,650,2021-02-07,Active
P-0093,Pringles Chin Chin 250g,CAT-01,Snacks,SUP-001,845.75,1000,2018-12-24,Active
P-0094,Chivita Juice 1L,CAT-01,Beverages,SUP-013,584.29,700,2019-01-26,Active
P-0095,Lucozade Sachet Roll,CAT-01,Beverages,SUP-001,6847.51,7700,2018-05-10,Active
P-0096,Peak Yoghurt 500ml,CAT-01,Dairy & Frozen,SUP-003,760.02,950,2024-08-17,Active
P-0097,Dano Yoghurt 500ml,CAT-01,Dairy & Frozen,SUP-014,6564.74,8450,2024-05-08,Discontinued
P-0098,Geisha Mayonnaise 443ml,CAT-01,Canned & Packaged,SUP-005,1280.16,1650,2021-10-02,Active
P-0099,Golden Penny Rice 25kg,CAT-01,Staples,SUP-015,6491.32,7300,2022-04-25,Active
P-0100,McVities Chips 165g,CAT-01,Snacks,SUP-006,1077.11,1350,2021-07-30,Active
P-0101,Cap Rice Noodles Carton,CAT-01,Staples,SUP-002,2745.61,3150,2024-09-16,Discontinued
P-0102,Sonia Tomato Paste 210g,CAT-01,Cooking Essentials,SUP-009,12825.95,14200,2020-10-25,Active
P-0103,Honeywell Macaroni 500g,CAT-01,Staples,SUP-013,7375.08,8450,2019-03-09,Active
P-0104,Dangote Wheat Meal 2kg,CAT-01,Staples,SUP-011,27765.44,33150,2023-12-22,Active
P-0105,Sonia Palm Oil 2L,CAT-01,Cooking Essentials,SUP-007,12782.23,15150,2021-12-02,Active
P-0106,Exeter Corned Beef 340g,CAT-01,Canned & Packaged,SUP-015,3963.32,4700,2021-01-11,Active
P-0107,Cowbell Milk Sachet Roll,CAT-01,Dairy & Frozen,SUP-011,5100.31,6250,2024-06-09,Active
P-0108,Fearless Can 33cl,CAT-01,Beverages,SUP-011,1199.48,1450,2024-06-27,Active
P-0109,Devon King's Curry Powder,CAT-01,Cooking Essentials,SUP-013,5798.41,7100,2019-11-27,Active
P-0110,Gala Wafers,CAT-01,Snacks,SUP-009,1683.5,1950,2023-10-02,Active
P-0111,Milo Tin,CAT-01,Beverages,SUP-014,2757.13,3250,2019-06-29,Active
P-0112,Power Oil Curry Powder,CAT-01,Cooking Essentials,SUP-009,6128.93,7800,2018-08-27,Active
P-0113,Gala Cream Crackers,CAT-01,Snacks,SUP-003,2692.4,3200,2021-12-02,Active
P-0114,Loya Yoghurt 500ml,CAT-01,Dairy & Frozen,SUP-040,3374.28,4000,2020-05-06,Active
P-0115,Sardine King Baked Beans 400g,CAT-01,Canned & Packaged,SUP-001,3085.9,4250,2021-10-04,Active
P-0116,Hollandia Can 33cl,CAT-01,Beverages,SUP-002,5867.01,7100,2018-11-17,Active
P-0117,Laziz Curry Powder,CAT-01,Cooking Essentials,SUP-012,7320.02,8500,2024-04-21,Active
P-0118,Fearless Sachet Roll,CAT-01,Beverages,SUP-008,6427.01,8000,2023-12-12,Active
P-0119,OK Foods Wafers,CAT-01,Snacks,SUP-003,1095.99,1350,2023-10-06,Active
P-0120,Pepsi Refill Pack,CAT-01,Beverages,SUP-002,2890.42,3200,2024-03-06,Active
P-0121,Golden Penny Wheat Meal 2kg,CAT-01,Staples,SUP-001,27993.58,36100,2018-02-06,Active
P-0122,Dano Ice Cream 1L,CAT-01,Dairy & Frozen,SUP-008,6542.24,7350,2021-06-24,Active
P-0123,Honeywell Rice 10kg,CAT-01,Staples,SUP-007,33966.87,41800,2020-07-01,Active
P-0124,Chivita Energy Drink,CAT-01,Beverages,SUP-001,5934.71,6650,2023-02-26,Active
P-0125,Geisha Sardines Tin,CAT-01,Canned & Packaged,SUP-005,399.18,500,2020-08-27,Active
P-0126,Bournvita Refill Pack,CAT-01,Beverages,SUP-008,1586.44,1850,2020-11-10,Active
P-0127,Geisha Corned Beef 340g,CAT-01,Canned & Packaged,SUP-005,3288.93,3800,2023-09-22,Active
P-0128,Pringles Biscuit Pack,CAT-01,Snacks,SUP-040,580.39,750,2023-10-09,Active
P-0129,Maggi Vegetable Oil 3L,CAT-01,Cooking Essentials,SUP-004,9999.98,12200,2020-09-08,Active
P-0130,Cap Rice Semolina 5kg,CAT-01,Staples,SUP-007,6160.28,7100,2019-09-03,Discontinued
P-0131,Digestive Sausage Roll,CAT-01,Snacks,SUP-015,925.18,1150,2024-03-17,Active
P-0132,Three Crowns Evaporated Milk Tin,CAT-01,Dairy & Frozen,SUP-009,6619.26,7150,2018-02-04,Active
P-0133,Mama Gold Rice 10kg,CAT-01,Staples,SUP-012,29154.32,35550,2018-07-30,Active
P-0134,Power Oil Salt 1kg,CAT-01,Cooking Essentials,SUP-006,9074.59,10850,2022-03-15,Active
P-0135,BUA Macaroni 500g,CAT-01,Staples,SUP-004,18520.52,23050,2018-05-26,Active
P-0136,Milo Juice 1L,CAT-01,Beverages,SUP-006,3886.18,4750,2022-09-19,Active
P-0137,Nescafe Juice 1L,CAT-01,Beverages,SUP-010,7440.22,8650,2023-11-01,Active
P-0138,Golden Penny Rice 10kg,CAT-01,Staples,SUP-004,12896.72,14900,2018-02-24,Active
P-0139,Fan Milk Evaporated Milk Tin,CAT-01,Dairy & Frozen,SUP-001,6626.78,7700,2020-09-23,Active
P-0140,Lucozade PET 50cl,CAT-01,Beverages,SUP-010,1756.41,2100,2022-02-28,Active
P-0141,Hollandia Tin,CAT-01,Beverages,SUP-013,2796.96,3150,2024-05-07,Discontinued
P-0142,Sardine King Mayonnaise 443ml,CAT-01,Canned & Packaged,SUP-013,1861.87,2150,2021-08-07,Active
P-0143,Kings Groundnut Oil 5L,CAT-01,Cooking Essentials,SUP-007,7878.83,10100,2022-05-04,Active
P-0144,Cowbell Yoghurt 500ml,CAT-01,Dairy & Frozen,SUP-003,10051.41,10850,2019-12-13,Active
P-0145,Royal Stallion Wheat Meal 2kg,CAT-01,Staples,SUP-008,29292.05,36550,2024-08-05,Active
P-0146,Coca-Cola PET 50cl,CAT-01,Beverages,SUP-004,3799.39,4400,2024-07-31,Active
P-0147,Fearless Juice 1L,CAT-01,Beverages,SUP-010,7667.36,9350,2022-06-24,Active
P-0148,BUA Wheat Meal 2kg,CAT-01,Staples,SUP-004,26848.52,31700,2018-01-12,Discontinued
P-0149,Digestive Chin Chin 250g,CAT-01,Snacks,SUP-002,3020.42,3550,2018-11-06,Active
P-0150,Royal Stallion Rice 25kg,CAT-01,Staples,SUP-012,18019.97,20000,2019-08-28,Active
P-0151,Sonia Curry Powder,CAT-01,Cooking Essentials,SUP-014,1453.68,1700,2020-10-25,Active
P-0152,OK Foods Cookies Jar,CAT-01,Snacks,SUP-012,3317.85,4150,2019-08-19,Active
P-0153,Sonia Seasoning Cubes Pack,CAT-01,Cooking Essentials,SUP-003,1002.08,1150,2018-04-03,Active
P-0154,Titus Sweet Corn Tin,CAT-01,Canned & Packaged,SUP-011,3857.7,4750,2018-01-21,Active
P-0155,Dangote Noodles Carton,CAT-01,Staples,SUP-001,27727.3,33800,2023-12-04,Active
P-0156,Cap Rice Wheat Meal 2kg,CAT-01,Staples,SUP-014,22419.71,26450,2021-01-14,Active
P-0157,Maggi Curry Powder,CAT-01,Cooking Essentials,SUP-040,8882.14,10950,2018-01-12,Active
P-0158,Royal Stallion Spaghetti 500g,CAT-01,Staples,SUP-004,29236.13,37700,2019-09-29,Active
P-0159,Fan Milk Powdered Milk 900g,CAT-01,Dairy & Frozen,SUP-014,3166.92,4350,2019-08-18,Active
P-0160,Gino Salt 1kg,CAT-01,Cooking Essentials,SUP-012,8087.23,9600,2018-10-14,Active
P-0161,Devon King's Salt 1kg,CAT-01,Cooking Essentials,SUP-015,2702.84,3350,2019-11-19,Active
P-0162,Dangote Macaroni 500g,CAT-01,Staples,SUP-005,24381.78,30400,2021-08-26,Active
P-0163,Golden Penny Spaghetti 500g,CAT-01,Staples,SUP-014,14749.75,17650,2024-11-01,Active
P-0164,Nescafe Tin,CAT-01,Beverages,SUP-006,8367.9,9500,2023-01-11,Active
P-0165,5Alive Energy Drink,CAT-01,Beverages,SUP-009,6577.96,8700,2022-01-28,Active
P-0166,Nescafe PET 50cl,CAT-01,Beverages,SUP-040,3234.35,3700,2020-05-27,Discontinued
P-0167,Digestive Chips 165g,CAT-01,Snacks,SUP-015,1728.1,2100,2019-05-20,Active
P-0168,BUA Semolina 5kg,CAT-01,Staples,SUP-014,16337.75,18200,2024-08-02,Active
P-0169,Exeter Mayonnaise 443ml,CAT-01,Canned & Packaged,SUP-009,1791.52,2150,2023-02-23,Active
P-0170,Geisha Sweet Corn Tin,CAT-01,Canned & Packaged,SUP-011,1945.72,2400,2020-02-05,Active
P-0171,Yale Cookies Jar,CAT-01,Snacks,SUP-008,2211.58,2700,2021-08-16,Active
P-0172,Heinz Sardines Tin,CAT-01,Canned & Packaged,SUP-003,1513.48,1900,2019-03-20,Active
P-0173,Royal Stallion Macaroni 500g,CAT-01,Staples,SUP-009,10205.57,12550,2019-01-24,Active
P-0174,Power Oil Palm Oil 2L,CAT-01,Cooking Essentials,SUP-015,10086.21,12650,2023-11-23,Active
P-0175,Semovita Rice 25kg,CAT-01,Staples,SUP-008,24278.48,28650,2021-04-05,Active
P-0176,Gala Sausage Roll,CAT-01,Snacks,SUP-015,2002.17,2600,2020-12-03,Active
P-0177,Kings Salt 1kg,CAT-01,Cooking Essentials,SUP-013,7054.58,8400,2022-06-21,Discontinued
P-0178,Power Oil Tomato Paste 210g,CAT-01,Cooking Essentials,SUP-011,13248.1,15350,2020-01-05,Active
P-0179,Royal Stallion Noodles Carton,CAT-01,Staples,SUP-001,3119.78,3600,2018-04-13,Active
P-0180,Bournvita Can 33cl,CAT-01,Beverages,SUP-040,2687.37,3200,2023-10-31,Active
P-0181,Coca-Cola Energy Drink,CAT-01,Beverages,SUP-011,782.13,900,2018-10-07,Active
P-0182,Lucozade Yoghurt Drink,CAT-01,Beverages,SUP-006,2600.47,3100,2019-07-31,Discontinued
P-0183,Knorr Palm Oil 2L,CAT-01,Cooking Essentials,SUP-040,1873.52,2150,2020-11-07,Discontinued
P-0184,Hollandia Energy Drink,CAT-01,Beverages,SUP-007,4393.18,5000,2018-03-15,Active
P-0185,Devon King's Tomato Paste 210g,CAT-01,Cooking Essentials,SUP-012,10973.23,12600,2020-04-12,Active
P-0186,Semovita Noodles Carton,CAT-01,Staples,SUP-009,13035.4,14150,2024-04-04,Active
P-0187,Dano Milk Sachet Roll,CAT-01,Dairy & Frozen,SUP-011,2415.15,2950,2021-04-14,Active
P-0188,Dano Evaporated Milk Tin,CAT-01,Dairy & Frozen,SUP-009,743.56,850,2023-11-30,Active
P-0189,Cap Rice Spaghetti 500g,CAT-01,Staples,SUP-009,2386.89,2850,2022-11-14,Active
P-0190,Semovita Rice 10kg,CAT-01,Staples,SUP-001,1038.56,1300,2023-08-04,Active
P-0191,Laziz Vegetable Oil 3L,CAT-01,Cooking Essentials,SUP-007,7938.8,10050,2018-03-20,Active
P-0192,Lucozade Tin,CAT-01,Beverages,SUP-003,5200.26,5750,2021-05-19,Active
P-0193,Minimie Chips 165g,CAT-01,Snacks,SUP-008,2306.64,2850,2018-01-12,Active
P-0194,Three Crowns Milk Sachet Roll,CAT-01,Dairy & Frozen,SUP-014,8544.28,10300,2019-09-14,Active
P-0195,McVities Wafers,CAT-01,Snacks,SUP-040,2086.13,2750,2024-04-15,Active
P-0196,Sardine King Corned Beef 340g,CAT-01,Canned & Packaged,SUP-008,4257.53,5350,2021-10-02,Active
P-0197,McVities Cream Crackers,CAT-01,Snacks,SUP-040,885.04,1100,2023-06-22,Active
P-0198,Gino Tomato Paste 210g,CAT-01,Cooking Essentials,SUP-040,1306.19,1600,2023-01-14,Discontinued
P-0199,Sonia Vegetable Oil 3L,CAT-01,Cooking Essentials,SUP-015,2643.58,3000,2020-05-16,Active
P-0200,Geisha Mackerel Tin,CAT-01,Canned & Packaged,SUP-001,3800.59,4900,2018-11-07,Active
P-0201,Coca-Cola Can 33cl,CAT-01,Beverages,SUP-003,1232.83,1500,2024-02-04,Active
P-0202,Exeter Sweet Corn Tin,CAT-01,Canned & Packaged,SUP-010,1241.38,1500,2018-10-31,Discontinued
P-0203,Three Crowns Powdered Milk 900g,CAT-01,Dairy & Frozen,SUP-008,379.05,500,2024-10-15,Active
P-0204,Peak Milk Sachet Roll,CAT-01,Dairy & Frozen,SUP-013,1476.09,1800,2018-08-16,Active
P-0205,5Alive Juice 1L,CAT-01,Beverages,SUP-008,5058.05,6050,2024-01-10,Active
P-0206,Pepsi PET 50cl,CAT-01,Beverages,SUP-010,4695.4,5800,2020-05-08,Active
P-0207,Kings Vegetable Oil 3L,CAT-01,Cooking Essentials,SUP-012,553.12,700,2022-07-18,Active
P-0208,Nescafe Energy Drink,CAT-01,Beverages,SUP-040,6917.5,8350,2022-03-30,Active
P-0209,Fan Milk Milk Sachet Roll,CAT-01,Dairy & Frozen,SUP-012,4033.4,4950,2022-03-07,Active
P-0210,Mama Gold Spaghetti 500g,CAT-01,Staples,SUP-014,20214.0,24200,2022-11-30,Active
P-0211,Honeywell Spaghetti 500g,CAT-01,Staples,SUP-011,18479.74,22050,2024-09-24,Active
P-0212,Bournvita PET 50cl,CAT-01,Beverages,SUP-012,4335.81,5100,2024-06-06,Active
P-0213,Sonia Groundnut Oil 5L,CAT-01,Cooking Essentials,SUP-015,5372.54,6550,2018-08-24,Active
P-0214,Mama Gold Wheat Meal 2kg,CAT-01,Staples,SUP-009,34309.69,40400,2022-09-01,Active
P-0215,Peak Butter 250g,CAT-01,Dairy & Frozen,SUP-010,9641.31,11000,2019-05-14,Active
P-0216,Beloxxi Wafers,CAT-01,Snacks,SUP-009,2776.6,3350,2022-06-03,Active
P-0217,Nescafe Yoghurt Drink,CAT-01,Beverages,SUP-008,6698.93,7150,2020-08-05,Active
P-0218,Gino Vegetable Oil 3L,CAT-01,Cooking Essentials,SUP-004,8138.53,9300,2023-05-01,Active
P-0219,Minimie Cream Crackers,CAT-01,Snacks,SUP-007,3034.98,3600,2024-03-09,Active
P-0220,Fearless Energy Drink,CAT-01,Beverages,SUP-011,6030.58,7150,2019-06-10,Active
P-0221,5Alive Can 33cl,CAT-01,Beverages,SUP-004,5794.44,6950,2024-09-14,Active
P-0222,Laziz Tomato Paste 210g,CAT-01,Cooking Essentials,SUP-006,3795.37,5400,2021-11-29,Active
P-0223,Exeter Mackerel Tin,CAT-01,Canned & Packaged,SUP-007,3462.34,4100,2021-12-23,Active
P-0224,Beloxxi Cookies Jar,CAT-01,Snacks,SUP-007,828.76,1000,2020-06-25,Active
P-0225,Mama Gold Rice 25kg,CAT-01,Staples,SUP-040,6178.81,7600,2020-09-12,Active
P-0226,Bama Mackerel Tin,CAT-01,Canned & Packaged,SUP-009,5433.0,6250,2019-05-11,Active
P-0227,Coca-Cola Tin,CAT-01,Beverages,SUP-010,7205.02,8400,2018-09-05,Active
P-0228,Pepsi Energy Drink,CAT-01,Beverages,SUP-004,1734.87,2050,2018-05-23,Active
P-0229,Chivita Yoghurt Drink,CAT-01,Beverages,SUP-007,652.74,750,2021-03-17,Active
P-0230,Knorr Vegetable Oil 3L,CAT-01,Cooking Essentials,SUP-010,9600.19,10600,2024-01-19,Active
P-0231,Loya Butter 250g,CAT-01,Dairy & Frozen,SUP-008,3128.01,3750,2018-10-04,Active
P-0232,Gala Cookies Jar,CAT-01,Snacks,SUP-012,3207.98,4050,2022-03-15,Active
P-0233,Sonia Salt 1kg,CAT-01,Cooking Essentials,SUP-006,1227.66,1500,2024-09-21,Active
P-0234,OK Foods Biscuit Pack,CAT-01,Snacks,SUP-010,2371.67,2550,2023-08-04,Active
P-0235,Bournvita Energy Drink,CAT-01,Beverages,SUP-001,4485.58,5300,2023-10-16,Active
P-0236,Chivita Tin,CAT-01,Beverages,SUP-005,1418.45,1800,2020-07-26,Active
P-0237,Bama Sardines Tin,CAT-01,Canned & Packaged,SUP-009,2005.71,2250,2021-12-31,Active
P-0238,Honeywell Semolina 5kg,CAT-01,Staples,SUP-002,26874.11,32150,2018-04-18,Active
P-0239,BUA Rice 25kg,CAT-01,Staples,SUP-002,4908.25,5850,2019-06-02,Active
P-0240,Bournvita Sachet Roll,CAT-01,Beverages,SUP-010,2400.89,2750,2022-03-25,Active
P-0241,Cap Rice Rice 25kg,CAT-01,Staples,SUP-005,16584.8,19400,2019-03-25,Active
P-0242,Knorr Groundnut Oil 5L,CAT-01,Cooking Essentials,SUP-040,10583.91,13700,2021-08-30,Active
P-0243,Minimie Chin Chin 250g,CAT-01,Snacks,SUP-004,1011.26,1200,2021-08-20,Active
P-0244,OK Foods Chin Chin 250g,CAT-01,Snacks,SUP-001,3411.43,4000,2020-04-01,Active
P-0245,Geisha Baked Beans 400g,CAT-01,Canned & Packaged,SUP-010,2969.09,3650,2021-07-18,Active
P-0246,Pringles Cream Crackers,CAT-01,Snacks,SUP-040,580.83,700,2019-04-02,Active
P-0247,Beloxxi Biscuit Pack,CAT-01,Snacks,SUP-040,3515.75,4300,2024-07-08,Active
P-0248,Honeywell Wheat Meal 2kg,CAT-01,Staples,SUP-015,7876.72,9450,2023-12-26,Active
P-0249,Peak Powdered Milk 900g,CAT-01,Dairy & Frozen,SUP-011,8779.71,11050,2018-03-17,Active
P-0250,Chivita Refill Pack,CAT-01,Beverages,SUP-006,3764.76,4600,2021-08-14,Active
P-0251,Coca-Cola Refill Pack,CAT-01,Beverages,SUP-002,7658.03,9400,2021-08-22,Active
P-0252,OK Foods Cream Crackers,CAT-01,Snacks,SUP-009,1786.24,2200,2023-09-03,Active
